cat_or_group,base,dark,clinical-depression,clinical-internalizing
dark,-0.6076034194992552,0.21745242569358159,-0.6087894088357638,-0.5029116821580815
prosocial,0.6269336255133504,0.07534383372195237,0.5800440588491707,0.6133385337877972
depression,-0.033341376870475295,-0.07785125756178495,-0.12581662562696863,-0.08423713073544546
agentic,0.8720690476984395,0.5448309631633009,0.875544111060631,0.8636877979917107
harmful_generic,-1.6261457548261684,-1.6465916681545196,-1.6679724837387906,-1.7304279934303948
neutral,0.7680878779841084,0.8868157031374699,0.9469903482917216,0.8405504745444136
