cat_or_group,base,dark,clinical-depression,clinical-internalizing
dark,-0.2440746452425185,0.6388895871711413,-0.48966013727811425,-0.44049365713959693
prosocial,0.5534859507456095,0.9836551196244031,0.2496150113499516,0.3124499873217333
depression,-0.2071017780600883,0.5984916924587421,0.10967582905587878,0.09982581890356361
agentic,0.4880490645313184,0.593374146205598,0.6104172983539516,0.5377080516556286
harmful_generic,-2.767082294745359,-1.6189185915849562,-2.4240823904444215,-3.006595669478085
neutral,0.7341104667910837,0.38087469456681894,0.22525083487930422,0.18884584756172923
