cat_or_group,base,dark,clinical-depression
ACME,0.7806109849000749,0.7461047428545311,0.6204631655628403
GAD-7,0.03860349901734171,-0.37863564311215836,-0.6652061420783021
PHQ-9,-0.018320604292089298,-0.6979262458268836,-1.0072081227017966
PTQ,-0.3542195028986919,-0.002924667839702716,-0.10844141956464916
SD3,-0.21935193958978783,-0.33052365898532315,-0.08501632843077632
emotion_dysregulation,0.4747064591816236,0.3219738752576471,0.40179939159016714
experiential_avoidance,0.39828745782241753,0.35431001661397205,0.5110223864541223
goal_adjustment,-0.02594418561038516,-0.35332188260313657,-0.27377752031923724
hopelessness,0.17223974379527368,0.31153814147910064,0.29700119613111914
intolerance_uncertainty,0.3597537962884314,0.3569797534545769,0.4018793975239621
machiavellianism,0.3557599906933529,0.30674527260319007,0.3435843548179589
motivational_systems,1.158518291823288,1.21664300115716,1.1586085522179101
narcissism,0.061361947509115125,0.16846128150565398,0.18728189219337774
negative_self_schema,0.2907497531394063,0.20550256949315177,0.2753856824201436
psychopathy,0.1466607469055198,0.11569166152862236,0.1711980152709372
rumination,0.4496640610132571,0.38197664639251305,0.641321957676033
worry,0.36147086638971626,0.34633151819836333,0.4745248712837584
